Organization,#Appearances
Oppia Foundation,5
Red Hen Lab,5
OpenStreetMap,5
Gentoo Foundation,5
ReactOS,5
SymPy,5
CCExtractor Development,5
Catrobat,5
LibreOffice,5
Wikimedia Foundation,5
LabLua,5
GNU Octave,5
Open Chemistry,5
The Linux Foundation,5
Django Software Foundation,5
Mozilla,5
National Resource for Network Biology (NRNB),5
The NetBSD Foundation,5
Fedora Project,5
Inkscape,5
GNU Radio,5
XWiki,5
ScummVM,5
OpenMRS,5
Drupal,5
MuseScore,5
Performance Co-Pilot,5
CloudCV,5
The Honeynet Project,5
Sugar Labs,5
Blender Foundation,5
JBoss Community,5
strace,5
FFmpeg,5
NumFOCUS,5
Xapian Search Engine Library,5
Free and Open Source Silicon Foundation,5
QEMU,5
RTEMS Project,5
The Wine Project,5
Git,5
BRL-CAD,5
Python Software Foundation,5
GNOME,5
RoboComp,4
Computational Biology @ University of Nebraska-Lincoln,4
The ns-3 Network Simulator Project,4
Public Lab,4
Global Alliance for Genomics and Health,4
Matrix.org,4
LibreHealth,4
Open Source Robotics Foundation,4
GNSS-SDR,4
OWASP Foundation,4
Chapel,4
OpenCV,4
Ruby,4
aimacode,4
Amahi,4
OpenWISP,4
The Julia Language,4
OSGeo,4
JdeRobot - Universidad Rey Juan Carlos,4
CERN-HSF,4
PostgreSQL,4
INCF,4
Internet Archive,4
Netfilter project,4
FreeBSD,4
Moodle,4
The Java Pathfinder Team,4
mlpack,4
"Genes, Genomes and Variation",4
Haiku,4
PEcAn Project,4
The Center for Connected Learning and Computer-Based Modeling,4
OpenAstronomy,4
Cloud Native Computing Foundation (CNCF),4
DBpedia,4
AerospaceResearch.net,4
Open Bioinformatics Foundation,4
Apertium,4
Rocket.Chat,4
Checker Framework,4
The Libreswan Project,4
Homebrew,4
VideoLAN,4
FOSSASIA,4
Ruby Science Foundation,4
R project for statistical computing,4
X.Org Foundation,4
The Processing Foundation,3
FreeType,3
MIT App Inventor,3
MariaDB Foundation,3
Samba,3
Submitty,3
Jenkins project,3
Open Genome Informatics,3
Purr Data,3
Boston University / XIA,3
phpMyAdmin,3
Intel Media And Audio For Linux,3
Beam Community,3
52°North Initiative for Geospatial Open Source Software GmbH,3
CiviCRM,3
P2PSP.org,3
MovingBlocks,3
The Eclipse Foundation,3
TEAMMATES @ National University of Singapore,3
The GNU Project,3
KDE Community,3
